Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,gradient_clip,mul_name,qtype,test_acc_top1,Mode
2023-10-12 19:42:40,9.1min,556a91e8ea9a4c6880adbe0eb4f85135,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,1.0,mul8x3u_0CX,8x3_affine_per_tensor,0.9703999757766724,testing
2023-10-11 19:01:28,8.8min,59f27e4db5e44bccb8c18f1c1e687ef6,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x3u_0CX,8x3_affine_per_channel,0.9883000254631042,testing
2023-10-11 18:52:33,8.9min,5291629076f4446eb37a423619ebaf1d,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x3u_0CX,8x3_affine_per_tensor,0.978600025177002,testing
2023-10-12 14:13:04,8.2min,11bc7d6cfea842e4ad5ae20f183d0afb,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,1.0,mul8x3u_060,8x3_affine_per_channel,0.9927999973297119,testing
2023-10-12 14:04:52,8.2min,72040d8d5a6a46718671b804fd232dd4,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,1.0,mul8x3u_060,8x3_affine_per_tensor,0.9923999905586243,testing
2023-10-11 12:59:41,7.9min,37543787ef10497b82cae63f466037f6,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x3u_060,8x3_affine_per_channel,0.9923999905586243,testing
2023-10-11 12:51:36,8.1min,47107e76fe2e4735968caeae882d9e2c,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x3u_060,8x3_affine_per_tensor,0.9926000237464905,testing
2023-10-12 17:20:24,8.3min,b95f108e87814d65aabf24d6f523655c,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,1.0,mul8x3u_05X,8x3_affine_per_channel,0.9927999973297119,testing
2023-10-12 17:12:07,8.3min,6d81e85e053c49fba6a605db739b8916,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,1.0,mul8x3u_05X,8x3_affine_per_tensor,0.9923999905586243,testing
2023-10-11 16:35:40,8.3min,6243feccf67747b085c3fe75167e35f1,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x3u_05X,8x3_affine_per_channel,0.9926000237464905,testing
2023-10-11 16:27:23,8.3min,04322d8354684f5ea80133ba54463376,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x3u_05X,8x3_affine_per_tensor,0.9922999739646912,testing
2023-10-12 16:13:01,8.4min,121f02e178a54825835269b1c94c15d8,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,1.0,mul8x3u_03V,8x3_affine_per_channel,0.9923999905586243,testing
2023-10-12 16:04:51,8.2min,679882dca4984f709631b93cf3e3e251,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,1.0,mul8x3u_03V,8x3_affine_per_tensor,0.992900013923645,testing
2023-10-11 14:56:50,8.2min,8c04c332b23d49dca79a76b118226e76,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x3u_03V,8x3_affine_per_channel,0.9923999905586243,testing
2023-10-11 14:48:27,8.4min,991e1113f9464f7ea7502a9e1c74f286,Approximate Retraining,LOCAL,./quant_accuracy_experiment.py,elias,FINISHED,0.5,mul8x3u_03V,8x3_affine_per_tensor,0.9916999936103821,testing
